reference,summary
"the receptor for advanced glycation end - products ( rages ) is associated with the malignancy of cancer . 
 a recent study has suggested that glyceraldehyde - derived ages ( glycer - ages ) enhanced the malignancy of melanoma cells , but glucose - derived ages did not . however , the effects of glycer - ages on other cancer cells remain poorly understood , and the molecular mechanisms behind the above - mentioned effect have not been clarified . the present paper aimed to examine the effect of glycer - ages on cultured lung cancer a549 cells . 
 rage was expressed in a549 cells . 
 glycer - ages significantly attenuated cell proliferation . 
 furthermore , glycer - ages enhanced the migration capacity of the cells by activating rac1 via ros and also increased their invasion capacity . 
 we demonstrated that glycer - ages enhanced the migration and invasion of a549 cells rather than their proliferation . 
 these results suggest that glycer - ages play a critical role in the malignancy of cancer rather than its proliferation and are potential targets for therapeutic intervention .","during metastasis , it is known that the mode of invasion is one of the markers of the malignancy and prognosis of cancer . we have recently found that glycer - ages stimulated the growth and migration of cultured human melanoma cells and that anti - rage antibodies inhibited the tumor formation and lung metastasis of melanoma cell xenografts and subsequently improved survival in athymic mice . in the present study , we examined the effects of glycer / ages on cultured human lung adenocarcinoma a549 cells and showed that glycers - ages enhanced their malignancies rather than their proliferation . after being washed twice with pbs - t , the membranes were incubated with goat anti / rage antibody ( n-16 ) or mouse anti--actin antibody ( santa cruz , santa ligz , ca , usa ) for 1.5  h. subsequently ,the membranes were washed twicewith pbs / t and incubatedwith anti - goat igg antibody (  santa caz ) or anti - mouse ig 's antibody ( biosource , camarillo , ca  usa ), and anti - biotin antibody ( cell signaling )for 1  h . after be washed"
"aim : demand from implant patients for quality and efficient treatment is increasing . 
 fortunately dental implant treatment is evolving with patients expectations.materials and methods : the study comprised of 45 patients for whom 89 implants were placed at different sites . 
 efficacy of the stents is evaluated in determining the position and diameter of the implants.conclusion:this study shows the extreme accuracy of this surgical stents in implant installation in terms of position and diameter .","in this study , we used the conventional surgical stents to evaluate their efficacy in determining the position and diameter of implants . the aim of the study was to demonstrate the accuracy and clinical precision of conventional surgical Stent protocol for optimum installation of dental implants in terms of position andiameter . the aims of the present study was: demonstrate the diagnostic and clinical precise of conventional synthetic stent protocolfor optimum installation and dental implants In terms of location and diameter . all the patients ( 45 patients for whom 89 implants were placed at different sites ) [ figures 1 , 2 ] visiting the department of prosthodontics and oral and maxillofacial surgery for implant supported prosthesis placement and who followed the standard inclusion criteria for placement of implants were included in the study . first of all , diagnostic cast of the patients was made and acrylic teeth / tooth were waxed - up [ figure 3 ] . later on , after applying the separating media over these regions and filling the undercuts with wax , transparent self - curing material was applied at the teeth to be replaced along with some adjacent area antero - posteriorly , which confers the stability to the stent during implant placement [ figure 5 ] . the holes were drilled in the stented so formed at"
"objectiveb lymphocytes play an important role in the immunopathogenesis of autoimmune diabetes . 
 we hypothesized that the altered b - cell subset phenotype is associated with autoimmune diabetes.research design and methodspatients with type 1 diabetes ( t1d ) ( n = 81 ) , latent autoimmune diabetes in adults ( lada ) ( n = 82 ) , or type 2 diabetes ( t2d ) ( n = 95 ) and healthy control subjects ( n = 218 ) with normal glucose tolerance ( ngt ) were recruited . 
 we determined the percentage of circulating b - lymphocyte subsets , including cd19+cd23cd21 + ( marginal zone b [ mzb ] ) , cd19+cd23+cd21 ( follicular b [ fob ] ) , and cd19+cd5+cd1dhi ( interleukin-10producing regulatory b [ b10 ] ) cells by flow cytometry.resultspatients with t1d or lada had increased percentages of mzb cells and decreased percentages of fob cells compared with healthy control subjects with ngt and patients with t2d . 
 moreover , patients with t1d showed the lowest frequency of b10 cells compared with patients with lada or t2d , whereas healthy control subjects expressed the highest frequency of b10 cells . 
 of note , the frequency of mzb cells was negatively associated and the frequency of fob cells was positively associated with fasting c - peptide ( fcp ) . 
 the frequency of b10 cells was positively correlated with fcp and negatively correlated with hemoglobin a1c.conclusionsthe data show that patients with t1d or lada express an altered frequency of b - cell subsets , which is associated with islet function and glycemia . 
 these findings suggest that b lymphocytes may be involved in loss of self - tolerance and -cell destruction and could be used as a biomarker and potential target for immunological intervention .","latent autoimmune diabetes in adults ( lada ) is a subtype of autoimmune diabetes , but the progression of autoimmune -cell destruction is slow ; therefore , patients with lada are not insulin dependent at the initial phase ( at least 6 months ) of disease onset . this study investigated a change of peripheral b - cell subsets in patients with t1d , lada , and t2d compared with healthy control subjects . fifty thousand lymphocytes were collected in a forward scatter / side scatter ( fsc - a / ssc - b ) lymphocyte gate and analyzed with flowjo version 7.6 software ( tree star , inc . fifty hundred lymphocytes and collected in in a backward scatter / left scatter ( tsc -a / s sc - a ) lymphocytes gate and analyze with flowJO version 7,6 software ; we also assessed the percentage of mzb cells but decreased frequency of fob cells , which were reported to have a regulatory function ( 29 ) , and found these to be decreased after adjustment for age , sex , and bmi compared with the control subjects with ngt , p < 0.001 ; t1 d vs. t2 d ,    , lada vs. n"
"human papillomavirus ( hpv ) infection is the leading cause of cancer mortality among women worldwide . 
 the molecular understanding of hpv proteins has significant connotation for understanding their intrusion in the host and designing novel protein vaccines and anti - viral agents , etc . 
 genomic , proteomic , structural , and disease - related information on hpv is available on the web ; yet , with trivial annotations and more so , it is not well customized for data analysis , host - pathogen interaction , strain - disease association , drug designing , and sequence analysis , etc . 
 we attempted to design an online reserve with comprehensive information on hpv for the end users desiring the same 
 . the human papillomavirus proteome database ( hpvpdb ) domiciles proteomic and genomic information on 150 hpv strains sequenced to date . 
 simultaneous easy expandability and retrieval of the strain - specific data , with a provision for sequence analysis and exploration potential of predicted structures , and easy access for curation and annotation through a range of search options at one platform are a few of its important features . 
 affluent information in this reserve could be of help for researchers involved in structural virology , cancer research , drug discovery , and vaccine design .","about 200 different strains of hpv identified , based on dna homology , have been found to be etiologically linked to cervical , vaginal , vulvar , penile , anal , oral , and plantar infectious lesions and cancers , as well [ 1 , 2 ] . amongst the existing 200 strains ofhpv , 150 have been sequenced as of now , and their data available at the national center for biotechnology information ( ncbi ) . besides pubmed , various other online resources and published literature were also explored for validating genomic , proteomic , as as well as strain and disease - associated information on hpv strains . hpv strain - specific information , such as strain name , sequencing status , sequencing centre , Ncbi accession i d , associated disease information with references , genome statistics ( gc% , at% , a , t , g , c count , genes , and proteins ) , etc . human papillomavirus proteome database ( hpvpdb ) , the relational reserve , was developed using microsoft sql server 2005 as the back end . a genome map of each strain obtained by geneious 5.4.4 software ( available from http://www.geneious.com"
"purpose : to present clinical results of toric intraocular lens ( iol ) implantation for preexisting astigmatism correction and determine the time of any postoperative rotation.patients and methods : twenty - nine eyes of 19 patients underwent uncomplicated phacoemulsification and were implanted with an acrysof  toric iol . uncorrected visual acuity , residual astigmatism , and postoperative rotation of the iol were estimated one and six months after the operation.results:uncorrected visual acuity was 0.5 in 26 of 29 eyes ( 89.7% ) and 0.8 in 19 of 29 patients ( 65.5% ) . 
 the mean toric iol axis rotation was 2.2  1.5 ( range 0.67.8 ) one month postoperation and 2.7  1.5 ( range 0.98.4 ) six months postoperation.conclusion:implantation of one - piece hydrophobic acrylic toric iols appears to have acceptable stability , which encourages visual outcome and emerges as an attractive alternative for correction of refractive astigmatism .","according to numerous estimations , 15% to 29% of patients with cataract have 1.5 diopters ( d ) of refractive astigmatism.1,2 catarct surgeons usually prefer to treat cataracts and correct refractive ( spherical and astigmatic ) disorders at the time of the surgery . toric intraocular lens ( iols ) implantation was introduced in the 1990 s as an option for astigmatization correction in catarlex patients . initially they presented the disadvantage of postoperative rotation that decreased the visual outcome.58 new toric iol designs ( acrysof   toric ol ; alcon , fort worth , tx ) , approved by the us food and drug administration ( fda ) at the end of 2005 , have been found to be more stable and appear to be the preferred iol for correcting preexisting astigmatisms in conjunction with catacact surgery.9,10 the acrySof  , iols are available in three options : t3 , t4 , and t5 of astigmatic correction 1.25 , 2.25, 3.00 d , respectively ( at the iol plane ) . the aim of this study is"
"the song of zebra finch is stable in life after it was learned successfully . 
 vocal plasticity is thought to be a motor exploration that can support continuous learning and optimization of performance . 
 the activity of ra , an important pre - motor nucleus in songbird 's brain , influences the song directly . 
 this variability in adult birdsong is associated with the activity of nmda receptors in lman - ra synapses , but the detailed mechanism is unclear . 
 the control of gain refers to modulation of a neuron 's responsiveness to input and is critically important for normal sensory , cognitive , and motor functions . here , we observed the change of gain in ra projection neurons after exogenous nmda was applied to activate nmda receptors using the whole - cell current clamp recording . 
 we found that nmda substantially increased the slope ( gain ) of the firing rate - current relationship in ra projection neurons . 
 the ampa receptor - dependent excitability played a crucial role in the modulation of gain by nmda . 
 these results suggested that nmda receptors may regulate the dynamics of ra projection neurons by input - output gain .","it has been observed that ra received excitatory glutamatergic inputs from hvc and lman . lman - ra synaptic transmission is necessary for the variability of song in adult zebra finch , suggesting that the activity of nmda receptor on the lman / ra synapses might induce the activity pattern change of ra neurons and change the bursts that control the vocal and respiratory muscles . such gain changes are frequently observed in the responses of cortical neurons and are thought to play an important role in neural computations . the recording pipettes , which had resistances ranging from 3 to 5  m , were positioned using an integrated motorized control system ( sutter instruments , usa ) . the slopes of the f - i relationships were 246.92  28.00  hz / na before nmda application and increased to 325.49  73.34 furthermore , the input resistances were decreased by 20  m nmda in ra projection neurons ( p < 0.05 , n = 6 ) ( figure 2 ) . to test the effect of nmDA on spike ahp comparison of spike shape is shown in figure 3(a ) with 90  pa current injection before and after nmda administration . nmda increased"
"introductionpythiosis is a serious life- and limb - threatening infection endemic to thailand , but rarely seen in the western hemisphere . here 
 , we present a unique case of vascular pythiosis initially managed with limb - sparing vascular bypass grafts complicated by a pseudoaneurysm in our repair.presentation of casethe patient is a 17 year - old jamaican male with severe aplastic anemia . 
 he sustained a minor injury to his left leg while fishing in jamaica , which evolved to become an exquisitely tender inguinal swelling . 
 his physical exam and imaging were significant for arteriovenous fistula with limb ischemia . 
 pathology obtained during surgery for an extra - anatomic vascular bypass showed extensive invasion by pythium insidiosum . 
 he later developed a pseudoaneurysm at the site of proximal anastomosis and required urgent intervention.discussionthis patient presented with a rare , but classic case of vascular pythiosis , which was unrecognized at the time of presentation . 
 a variety of therapeutic modalities have been used to treat this disease , including antibiotics , antifungals , and immunotherapy , but the ultimate management of vascular pythiosis is surgical source control.conclusiona high index of suspicion in susceptible patients is needed for timely diagnosis of vascular pythiosis to achieve optimal source control .","known to infect immunocompetent horses , dogs , and other large animals,2 , 3 pythium infection was first reported in humans in 1989 in association with thalassemic hemoglobinopathy.4 , 5 human pythiosis is known to present in one of four clinical entities : subcutaneous , ocular , vascular , and disseminated . he had a 9    8  cm soft tissue defect with overlying escar on the posterior aspect of his left leg ( fig . mri showed a t2 bright left groin mass with edema along the fascial planes , and lower extremity angiogram demonstrated occlusion of the left common femoral artery with distal profunda femoris and mid - superficial femoral vein reconstitution ( fig , three weeks after his initial surgery , the patient developed new sites of pain along the graft site and repeat imaging showed a 2.5  cm pseudoaneurysm at the proximal anastomosis to the external iliac artery with contrast extravasation ( fig ). he was taken to the operating room for an extra - anatomic left common iliaca artery to the previous femoral popliteal bypass graft using a reverse"
"we evaluated a three - dimensional ( 3d ) human oral cell culture that consisted of two types of cells , oral keratinocytes and fibroblasts as a model of oral mucositis which is a debilitating adverse effect of chemotherapy and radiation treatment . 
 the 3d cell culture model was irradiated with 12 or 2  gy , and total rna was collected 6  h after irradiation to compare global gene expression profiles via microarray analysis . here 
 we provide detailed methods and analysis on these microarray data , which have been deposited in gene expression omnibus ( geo ) : gse62395 .","the 3d epioral tissue is a co - culture organotypic model and consisted of human fibroblasts on the bottom and human oral keratinocytes grown on top of the fibroblastasts . in order to decide whether intensity data was significantly above background , p - values were calculated to test the null hypothesis that expression is absent ( called  p - value detected  ) . lastly , we also calculated p -values for determining whether genes were differentially expressed . for each sample the scattered plots of raw and normalized log2 data were compared using the r function pairs . forEach technical repeat , we calculated correlation values for raw and normal log2 intensities and we included in the calculation only probes with p -value of <  0.01 . we only used genes with |  fold change  |  >  1.5 and p - - value  <  0.05 . also , down - regulated genes in irradiated samples were strongly enriched for functional categories involved in rna processing and cell division . the following are the supplementary data related to this article.table s1enrichment analysis results using david bioinformatics . the 3d    model and consists of human Fibro"
"self - report of sexual behavior among adolescents is notoriously inconsistent , yet such measures are commonly used as outcomes for human immunodeficiency virus ( hiv ) prevention intervention trials . 
 there has been a growing interest in the use of hiv and other sexually transmitted disease biomarkers as more valid measures of intervention impact in high hiv prevalence areas , particularly in sub - saharan africa . 
 we examine the challenges , benefits , and feasibility of including hiv and herpes simplex virus type 2 ( hsv-2 ) biomarker data , with details about different data collection and disclosure methods from two adolescent prevention trials in kenya and zimbabwe . in kenya , 
 whole blood samples were collected using venipuncture ; adult guardians were present during biomarker procedures and test results were disclosed to participants and their guardians . in contrast , in zimbabwe , samples were collected using finger pricks for dried blood spots ( dbs ) ; guardians were not present during biomarker procedures , and results were not disclosed to participants and/or their guardians . in both countries , 
 prevalence in the study samples was low . 
 although the standard of care for testing for hiv and other sexually transmitted infections includes disclosure in the presence of a guardian for adolescents under age 18 , we conclude that more research about the risks and benefits of disclosure to adolescents in the context of a clinical trial is needed . 
 notably , current serological diagnosis for hsv-2 has a low positive predictive value when prevalence is low , resulting in an unacceptable proportion of false positives and serious concerns about disclosing test results to adolescents within a trial . 
 we also conclude that the dbs approach is more convenient and efficient than venipuncture for field research , although both approaches are feasible . 
 manufacturer validation studies using dbs for hsv-2 , however , are needed for widespread use .","although the hiv prevalence of adolescents ages 15 and older is monitored through demographic and health surveys ( dhs)2 in most sub - saharan africa countries , little is known about the prevalence of hiv in adolescents under 15  years . one study in zimbabwe among adolescent females aged 1519  years reported that 12  % of participants tested positive for hsv-2 ( birdthistle et al . building on these findings , our study describes the challenges of collecting hiv and hsv -2 biological data as biomarkers for sexual activity among sub - sharan African youth in prevention trials . in both studies , we collected blood samples from participants for hiv-2 testing , but they differed as follows : we collected samples by venipuncture with results disclosed to participants and their guardians in kenya , whereas in z Zimbabwe , we collect samples by finger pricks for dried blood spots ( dbs ) and results were not disclosed . in accordance with national guidelines , we gave referrals to publicly funded hiv care and treatment centers to all adolescents with positive hiv test results , while hiv negative participants were counseled on risk reduction ( nascop , republic of kenja , 2008 ) . participants who"
"objectivelife - threatening hemispheric stroke is associated with a high mortality and morbidity . 
 decompressive hemicraniectomy has been regarded as an effective treatment option for refractory intracranial hypertension . here , 
 we reported the clinical course of 5 children with decompressive craniectomy and duroplasty after non - traumatic refractory intracranial hypertension.methodsfour toddlers and one preschool - girl were included in this study ; there were 3 boys and 2 girls with a mean age of 34.6 months ( range 17 - 80 ) . 
 decompressive craniectomy including duroplasty was performed in cases of dilatation of pupil size after intensified standard medical therapy had proven insufficient . 
 all children had a pediatric glasgow coma scale score < 8 at pre - operation state . 
 the mean time - point of craniectomy after stroke attack was 12 hours ( range 4 - 19).resultsduring the long - term follow - up period ( mean 47.6 months ) , no children died . 
 one year later , when we checked their glasgow outcome scale scores , only one toddler received a score of 4 ( moderate disability ) . 
 but the others had good recoveries although they had minor physical or mental deficits . 
 according to the pediatric cerebral performance category scale , 4 children received a score of 2 ( mild disability).conclusiondespite our small cases , we suggest that decompressive hemicraniectomy and duroplasty is an acceptable and life - saving treatment for refractory intracranial hypertension after unilateral hemispheric stroke in toddlers and preschool children .","however , if all medical treatment is fail to drop the intracranial pressure ( icp ) and deterioration of patient progressed , alternative treatments , such as surgical decompression could be mandatory . in case of traumatic brain injury , however , there has not been a definite evidence or standard guideline for decompressive craniectomy for pediatric patient with non - traumatic acute stroke with uncontrolled refractory high intracraneial pressure . we will introduce our series about the functional and clinical outcome after decompressive cyaniectomy to control refractor high icp due to non -traumatic acute stroke in pediatric patient . and all operations were performed by one pediatric neurosurgeon and all patients received treatment in pediatric intensive care unit of one medical center . four cases were caused by ischemic stroke , and another one case was hemorrhagic stroke . and the icp of all patients were dropped to normal range within one and half days after operation . at the time of postoperative 3-month , she returned for an elective cranioplasty . atThe end of follow - up , 41 months after surgery , this patient maintained a pcpcs of 2 , and gos of 5 , and she had showed mild left side hemiparesis ,"
"objectivewe investigated whether the antiproteinuric effect of the direct renin inhibitor aliskiren is comparable to that of irbesartan and the effect of the combination.research design and methodsthis was a double - blind , randomized , crossover trial . 
 after a 1-month washout period , 26 patients with type 2 diabetes , hypertension , and albuminuria ( > 100 mg / day ) were randomly assigned to four 2-month treatment periods in random order with placebo , 300 mg aliskiren once daily , 300 mg irbesartan once daily , or the combination using identical doses . 
 patients received furosemide in a stable dose throughout the study . 
 the primary end point was a change in albuminuria . 
 secondary measures included change in 24-h blood pressure and glomerular filtration rate ( gfr).resultsplacebo geometric mean albuminuria was 258 mg / day ( range 842,361 ) , mean  sd 24-h blood pressure was 140/73  15/8 mmhg , and gfr was 89  27 ml / min per 1.73 m2 . 
 aliskiren treatment reduced albuminuria by 48% ( 95% ci 2762 ) compared with placebo ( p < 0.001 ) , not significantly different from the 58% ( 4279 ) reduction with irbesartan treatment ( p < 0.001 vs. placebo ) . 
 combination treatment reduced albuminuria by 71% ( 5979 ) , more than either monotherapy ( p < 0.001 and p = 0.028 ) . 
 fractional clearances of albumin were significantly reduced ( 46 , 56 , and 67% reduction vs. placebo ) . 
 twenty - four - hour blood pressure was reduced 3/4 mmhg by aliskiren ( ns / p = 0.009 ) , 12/5 mmhg by irbesartan ( p < 0.001/p = 0.002 ) , and 10/6 mmhg by the combination ( p = 0.001/p < 0.001 ) . 
 gfr was significantly reduced 4.6 ( 95% ci 0.38.8 ) ml / min per 1.73 m2 by aliskiren , 8.0 ( 3.612.3 ) ml / min per 1.73 m2 by irbesartan , and 11.7 ( 7.415.9 ) ml / min per 1.73 m2 by the combination.conclusionsthe combination of aliskiren and irbesartan is more antiproteinuric in type 2 diabetic patients with albuminuria than monotherapy .","the primary objective was to assess albuminuria during different treatments compared with that with placebo ; secondary objectives were to assess effect on 24-h blood pressure , glomerular filtration rate ( gfr ) , biomarkers , and raas components . patients with type 2 diabetes ( world health organization criteria ) aged 3080 years were eligible for randomization with baseline urinary albumin excretion rate ( uaer ) > 100 mg/24 h , hypertension ( baseline office blood pressure > 135/85 mmhg ) , and baseline gfr > 40 ml / min per 1.73 m. exclusion criteria included major cardiovascular disease ( within 6 months ) , heart failure ( new york heart association class ii rather , we used active washout : during the first 14 days of all treatments , every patient received 150 mg aliskiren daily to avoid risk of hypotension or a drastic increase in blood pressure in the switch from placebo to combination treatment or vice versa . samples for prorenin , plasma renin activity ( pra ), high - sensitivity pra ( hs - pra ) , immunoreactive plasma renins concentration ( ir - prc ) , angiotensinogen , ang i , ace activity , ang ii , and a"
"cell - surface interactions play a crucial role for biomaterial application in orthopaedics . 
 it is evident that not only the chemical composition of solid substances influence cellular adherence , 
 migration , proliferation and differentiation but also the surface topography of a biomaterial . 
 the progressive application of nanostructured surfaces in medicine has gained increasing interest 
 to improve the cytocompatibility and osteointegration of orthopaedic implants . 
 therefore , the 
 understanding of cell - surface interactions is of major interest for these substances . in this review 
 , 
 we elucidate the principle mechanisms of nano- and microscale cell - surface interactions in vitro for 
 different cell types onto typical orthopaedic biomaterials such as titanium ( ti ) , 
 cobalt - chrome - molybdenum ( cocrmo ) alloys , stainless steel ( ss ) , as well as synthetic polymers 
 ( uhmwpe , xlpe , peek , plla ) . 
 in addition , effects of nano- and microscaled particles and their 
 significance in orthopaedics were reviewed . 
 the significance for the cytocompatibility 
 of nanobiomaterials is discussed critically .","in contrast , other data showed that a low degree of wettability promotes protein adhesion and also cellular attachment to a biomaterial , and mller et al . it is evident that not only the surface topography influences protein deposition and cell adherence but also proteins and cells modify the surface properties of a defined surface . in addition , also the amount but also the type of protein adsorption by a surface is crucial for cellular adherence and following reactions such as migration and differentiation . for polylactides ( plla ) , it was shown on oct-1 osteoblast - like cells that cell adhesion but not the proliferation could be enhanced by nanoscale and microscale roughness compared to smooth surfaces . demonstrated on mg-63 osteoblastic cells that fc adhesion was smaller on ti and ss than on collagen - coated glass coverslips and that all fc showed a mobility of focal adhesions . based on the knowledge of protein adorption and its effects on cellular attachment and adherence , a selective surface coating of nanostructured surfaces with rgd or collagen proteins offer a promising solution to improve the number of osteoblasts adhered on artificial surfaces [ 53 , 95102 ] . demonstrated that neither material"
"legumes ( fabaceae or leguminosae ) are unique among cultivated plants for their ability to carry out endosymbiotic nitrogen fixation with rhizobial bacteria , a process that takes place in a specialized structure known as the nodule . 
 legumes belong to one of the two main groups of eurosids , the fabidae , which includes most species capable of endosymbiotic nitrogen fixation 1 . 
 legumes comprise several evolutionary lineages derived from a common ancestor 60 million years ago ( mya ) . 
 papilionoids are the largest clade , dating nearly to the origin of legumes and containing most cultivated species 2 . 
 medicago truncatula ( mt ) is a long - established model for the study of legume biology . 
 here we describe the draft sequence of the mt euchromatin based on a recently completed bac - assembly supplemented with illumina - shotgun sequence , together capturing ~94% of all mt genes . a whole - genome duplication ( wgd ) 
 approximately 58 mya played a major role in shaping the mt genome and thereby contributed to the evolution of endosymbiotic nitrogen fixation . 
 subsequent to the wgd , the mt genome experienced higher levels of rearrangement than two other sequenced legumes , glycine max ( gm ) and lotus japonicus ( lj ) . 
 mt is a close relative of alfalfa ( m. sativa ) , a widely cultivated crop with limited genomics tools and complex autotetraploid genetics . as such 
 , the mt genome sequence provides significant opportunities to expand alfalfa s genomic toolbox .","six a17 bac and one fosmid library were used to create mt3.5 ( table s1 ) . most were processed by sanger paired - end sequencing of 3 - 6 kb shotgun libraries . sequences were downloaded in february / march 2009 with scaffolding performed by aligning all bacand fosm ends against contigs and then anchored and ordered primarily by optical mapping . separately , 25 gb of illumina sequence was generated using short ( 375 nt ) inserts plus 2.1 gb from a 5 kb mate - pair library , then assembled using clcbio ( www.clcbio.com ) and soap ( http://soap.genomics.org.cn/ ) . five tissues were used for rna - seq analysis with ~10 million illumina 36 bp reads per library ( table S12 ) . three tissues were use for small rna analysis with (~3 million reads per illumina library ( figures s17-s18 , table s16 , datafile s9 ) . six a17 ac and 1 fosmot library were use to create mitochondrial3. 5 ( table sc1 ) , most were processing by sger paired - E sequencing of three"
"background : bipolar hip arthroplasty ( bha ) is one of the options for treatment of avascular necrosis ( avn ) of the femoral head . 
 acetabular erosion and groin pain are the most allowing for gross motion between the common complications . 
 we propose that these complications are secondary to improper acetabular preparation allowing for motion between the bha head and the acetabulum.materials and methods : the current study retrospectively evaluated patientsrecords from case files and also called them for clinical and radiological followup . 
 96 hips with avn of the femoral head treated with bha were included in the study . 
 all patients were males with a mean age of 42 years ( range 30 - 59 years ) . in all cases , 
 the acetabulum was gently reamed till it became uniformly concentric to achieve tight fitting trial cup . 
 clinical followup using harris hip score ( hhs ) and radiological study for cup migration were done at followup.results:the mean followup was 7.52 years ( range 4 - 16 years ) . 
 the hhs significantly improved from a preoperative value of 39.3 ( range , 54 - 30 ) to a postoperative value of 89.12 ( range 74 - 96 ) . according to hhs grades , the final outcome was excellent in 52 hips , good in 28 and fair in 16 hips . 
 hip and groin pain was reported in four hips ( 5% ) , but did not limit activity . 
 subsidence ( less than 5 mm ) of the femoral component was seen in 8 cases . 
 subgroup analysis showed patients with ficat stage 3 having better range of motion , but similar hhs as compared to ficat stage 4 patients.conclusion:bipolar hip arthroplasty ( bha ) using tight fitting cup and acetabular reaming in avn hip has a low incidence of groin pain , acetabular erosion and revision in midterm followup . 
 good outcome and mid term survival can be achieved irrespective of the ficat stage .","surgical treatment of avascular necrosis ( avn ) of head of femur include core decompression , osteotomies , nonvascularized bone grafting , free vascularized fibular grafts , hip resurfacing , bipolar hip arthroplasty ( bha ) and total hip arthropasty ( tha).123 tha is indicated in the young individual in avn with acetabular involvement ; however , its role is unclear in cases without acetabulular involvement.4 bha was initially limited to be used in hip osteoarthritis , nonunions and acute neck femur fractures.56 bateman7 and giliberty8 were first to use bha in ficat stage 3 avn based on the hypothesis that acetabulum floor retains a regenerative property , which regenerates bone in the subchondral region , if stimulation in the form of weight bearing is given through an accurately fitted cup  and theorized that preferential motion at inner bearing will decrease the cartilage erosion . papers have been published with both satisfactory91011121314 and unsatisfactory results using bha.5151617 the main limitations sighted are migration of the outer cup ( secondary to the acetabula erosion )"
"valproic acid ( vpa ) has successfully been used in the therapy of a number of conditions including absence seizures , partial seizures , tonic - clonic seizures , bipolar disorder , schizoaffective disorder , social phobias , neuropathic pain and migraine headaches . 
 there is a high rise in number of cases of toxicity due to overdose of vpa . 
 hyperammonemia , a common side - effect of vpa , is caused by several proposed etiologies , reported as having uncertain correlation with vpa dose or concentration . 
 we present here a case of a 25-year - old female patient with a past history of psychiatric complaints , presented with elevated serum vpa levels associated with elevated venous ammonia levels subsequent to vpa overdose . later in the presence of sub - therapeutic serum vpa levels 
 her venous ammonia levels remained raised and slowly down - trending . 
 vpa levels and ammonia levels were found to be normal after 14 days . 
 patient was treated with levocarnitine . 
 her liver enzymes were never elevated . 
 different decay kinetics of venous ammonia in presence of high and low concentrations of vpa indicates that vpa can cause symptomatic hyperammonemia via more than one concurrent etiological mechanism . in this patient , 
 the mechanisms causing hyperammonia secondary to vpa use were not related to hepatic damage or carnitine deficiency .","her elevated vpa levels were associated with elevated ammonia levels as expected of a positive correlation . in contrast , later on in the patient 's clinical course her raised venous ammonia levels were found to be slowly down - trending in the presence of sub - therapeutic serum vpa . patient was taking paroxetine 20 mg for depression ; this was incremented to 40 mg at the time vpa was started . after ingesting the pills she notified her family who then brought her to the emergency room . subsequently , she was administered oral lactulose once and then 1400 mg of levocarnitine orally every 6 h for the next 2 days . her vpa values which peaked after admission continued to trend down over the next 4 days , the ammonia levels also peaked subsequent to admission then showed an initial dip followed by a very slow down - trend [ figure 1a ] . the normalized log - linear plot of vpa serum concentration over time showed a down - progressing linear first - order kinetics with a calculated t = 15.08 h [ figure1b ] ( expected t for depakote : 9 - 16 h following oral dosing regimens of 250 - 1000 mg . at 14 days laboratory values of the patient at the point"
"treatment of mastitis should be based on bacteriological diagnosis and take national and international guidelines on prudent use of antimicrobials into account . in acute mastitis , where bacteriological diagnosis is not available , treatment should be initiated based on herd data and personal experience . 
 rapid bacteriological diagnosis would facilitate the proper selection of the antimicrobial . 
 treating subclinical mastitis with antimicrobials during lactation is seldom economical , because of high treatment costs and generally poor efficacy . 
 all mastitis treatment should be evidence - based , i.e. , the efficacy of each product and treatment length should be demonstrated by scientific studies . 
 use of on - farm written protocols for mastitis treatment promotes a judicious use of antimicrobials and reduces the use of antimicrobials .","intramammary infection ( mastitis ) is the most common reason for the use of antimicrobials in dairy cows . cure rates for mastitis caused by penicillin - resistant strains of s. aureus seem to be inferior to those of mastitis due to penicill - susceptible strains . the advantages of this route are high concentrations of the substance achieved in the milk and low consumption of the antimicrobial as the drug is directly infused into the diseased quarter . efficacy of imm treatment varies according to the causative pathogen , with the best therapeutic response being shown for mastits caused by streptococci , coagulase - negative staphylococci ), and corynebacterium spp .. where to target antimicrobial therapy in clinical mastitis based to different pathogens   the systemic route of administration has been suggested to be more efficient than imm for the treatment of clinical Mastitis as antimicrobiials theoretically have better penetration of the udder tissue by this route . however , it is difficult to attain and maintain therapeutic concentrations in milk or uddder residue following systemic administration . macrolides would have ideal pharmacokinetics , but clinical studies have failed to demonstrate efficacy when used"
